Category lv 1,Code Unik,Category lv 2,Category Name,Link
aksesoris-rumah-7354,c,perlengkapan-kamar-tidur-7357,Perlengkapan Kamar Tidur,https://www.bukalapak.com/c/aksesoris-rumah-7354/perlengkapan-kamar-tidur-7357
aksesoris-rumah-7354,c,dekorasi-7360,Dekorasi,https://www.bukalapak.com/c/aksesoris-rumah-7354/dekorasi-7360
aksesoris-rumah-7354,c,peralatan-makan-minum-7363,Peralatan Makan Minum,https://www.bukalapak.com/c/aksesoris-rumah-7354/peralatan-makan-minum-7363
aksesoris-rumah-7354,c,lampu-7366,Lampu,https://www.bukalapak.com/c/aksesoris-rumah-7354/lampu-7366
aksesoris-rumah-7354,c,peralatan-dapur-7369,Peralatan Dapur,https://www.bukalapak.com/c/aksesoris-rumah-7354/peralatan-dapur-7369
aksesoris-rumah-7354,c,tempat-penyimpanan-7372,Tempat Penyimpanan,https://www.bukalapak.com/c/aksesoris-rumah-7354/tempat-penyimpanan-7372
aksesoris-rumah-7354,c,tanaman-hias-vas-7375,Tanaman Hias & Vas,https://www.bukalapak.com/c/aksesoris-rumah-7354/tanaman-hias-vas-7375
aksesoris-rumah-7354,c,perkakas-rumah-tangga-7378,Perkakas Rumah Tangga,https://www.bukalapak.com/c/aksesoris-rumah-7354/perkakas-rumah-tangga-7378
aksesoris-rumah-7354,c,cermin-7381,Cermin,https://www.bukalapak.com/c/aksesoris-rumah-7354/cermin-7381
aksesoris-rumah-7354,c,gorden-aksesoris-7384,Gorden Aksesoris,https://www.bukalapak.com/c/aksesoris-rumah-7354/gorden-aksesoris-7384
aksesoris-rumah-7354,c,tekstil,Tekstil,https://www.bukalapak.com/c/aksesoris-rumah-7354/tekstil
handphone,c,hp-smartphone,HP & Smartphone,https://www.bukalapak.com/c/handphone/hp-smartphone
handphone,c,wearable-devices,Wearable Devices,https://www.bukalapak.com/c/handphone/wearable-devices
handphone,c,tablet,Tablet,https://www.bukalapak.com/c/handphone/tablet
handphone,c,power-bank,Power Bank,https://www.bukalapak.com/c/handphone/power-bank
handphone,c,headset-earphone,Headset / Earphone,https://www.bukalapak.com/c/handphone/headset-earphone
handphone,c,aksesoris-handphone,Aksesoris Handphone,https://www.bukalapak.com/c/handphone/aksesoris-handphone
handphone,c,memory-card,Memory Card,https://www.bukalapak.com/c/handphone/memory-card
handphone,c,spare-part-tools-handphone,Spare Part Tool Handphone,https://www.bukalapak.com/c/handphone/spare-part-tools-handphone
handphone,c,kartu-perdana,Kartu Perdana,https://www.bukalapak.com/c/handphone/kartu-perdana
handphone,c,grosir-handphone,Grosir Handphone,https://www.bukalapak.com/c/handphone/grosir-handphone
kesehatan-2359,c,kesehatan-wanita,Kesehatan Wanita,https://www.bukalapak.com/c/kesehatan-2359/kesehatan-wanita
kesehatan-2359,c,masker-4297,Masker,https://www.bukalapak.com/c/kesehatan-2359/masker-4297
kesehatan-2359,c,obat-vitamin,Obat & Vitamin,https://www.bukalapak.com/c/kesehatan-2359/obat-vitamin
kesehatan-2359,c,kesehatan-mulut-gigi,Kesehatan Mulut & Gigi,https://www.bukalapak.com/c/kesehatan-2359/kesehatan-mulut-gigi
kesehatan-2359,c,kesehatan-mata,Kesehatan Mata,https://www.bukalapak.com/c/kesehatan-2359/kesehatan-mata
kesehatan-2359,c,kesehatan-telinga,Kesehatan Telinga,https://www.bukalapak.com/c/kesehatan-2359/kesehatan-telinga
kesehatan-2359,c,alat-kesehatan,Alat Kesehatan,https://www.bukalapak.com/c/kesehatan-2359/alat-kesehatan
kesehatan-2359,c,tulang-otot-sendi,Tulang Otot & Sendi,https://www.bukalapak.com/c/kesehatan-2359/tulang-otot-sendi
kesehatan-2359,c,essential-oil,Essential Oil,https://www.bukalapak.com/c/kesehatan-2359/essential-oil
kesehatan-2359,c,produk-kesehatan-lainnya,Produk Kesehatan Lainnya,https://www.bukalapak.com/c/kesehatan-2359/produk-kesehatan-lainnya
kesehatan-2359,c,grosir-kesehatan,Grosir Kesehatan,https://www.bukalapak.com/c/kesehatan-2359/grosir-kesehatan
