os_name,os_code,link
Clinique,clinique,https://www.lazada.co.id/clinique/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Rollover Reaction,rollover-reaction,https://www.lazada.co.id/rollover-reaction/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Esqa Cosmetics,esqa-cosmetics,https://www.lazada.co.id/esqa-cosmetics/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
SOMETHINC OFFICIAL,somethinc-official,https://www.lazada.co.id/somethinc-official/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Avoskin,avoskin,https://www.lazada.co.id/avoskin/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Whitelab Official Shop,whitelab-official-shop,https://www.lazada.co.id/whitelab-official-shop/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Martha Tilaar,martha-tilaar,https://www.lazada.co.id/martha-tilaar/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Luxcrime ID,luxcrime-id,https://www.lazada.co.id/luxcrime-id/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
BLP By Lizzie Parra,blp-by-lizzie-parra,https://www.lazada.co.id/blp-by-lizzie-parra/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
adidas,adidas-indonesia,https://www.lazada.co.id/adidas/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
Sepatu Compass Indonesia,sepatu-compass-indonesia,https://www.lazada.co.id/sepatu-compass-indonesia/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
GM Bear,gm-bear,https://www.lazada.co.id/gm-bear/?ajax=true&from=wangpu&isFirstRequest=true&langFlag=id&page=1&pageTypeId=2&q=All-Products
