Category Code,Code Unik,Category,Pop Up,Link
beli-handphone,/?ajax=true&isFirstRequest=true&page=,Handphone,0,https://www.lazada.co.id/beli-handphone/?ajax=true&isFirstRequest=true&page=
jual-laptop-umum,/?ajax=true&isFirstRequest=true&page=,Laptop,0,https://www.lazada.co.id/jual-laptop-umum/?ajax=true&isFirstRequest=true&page=
beli-pc-gaming,/?ajax=true&isFirstRequest=true&page=,Komputer Gaming,0,https://www.lazada.co.id/beli-pc-gaming/?ajax=true&isFirstRequest=true&page=
beli-komputer-rakitan,/?ajax=true&isFirstRequest=true&page=,Komputer Rakitan,0,https://www.lazada.co.id/beli-komputer-rakitan/?ajax=true&isFirstRequest=true&page=
beli-komputer,/?ajax=true&isFirstRequest=true&page=,Komputer,0,https://www.lazada.co.id/beli-komputer/?ajax=true&isFirstRequest=true&page=
beli-pc-all-in-one,/?ajax=true&isFirstRequest=true&page=,PC All in One,0,https://www.lazada.co.id/beli-pc-all-in-one/?ajax=true&isFirstRequest=true&page=
beli-slr,/?ajax=true&isFirstRequest=true&page=,DSLR,0,https://www.lazada.co.id/beli-slr/?ajax=true&isFirstRequest=true&page=
beli-kamera-mirrorless,/?ajax=true&isFirstRequest=true&page=,Kamera Mirrorless,0,https://www.lazada.co.id/beli-kamera-mirrorless/?ajax=true&isFirstRequest=true&page=
beli-kamera-pocket,/?ajax=true&isFirstRequest=true&page=,Kamera Pocket,0,https://www.lazada.co.id/beli-kamera-pocket/?ajax=true&isFirstRequest=true&page=
beli-kamera-video-aksi,/?ajax=true&isFirstRequest=true&page=,Kamera Olahraga dan Aksi,0,https://www.lazada.co.id/beli-kamera-video-aksi/?ajax=true&isFirstRequest=true&page=
beli-kamera-360,/?ajax=true&isFirstRequest=true&page=,Kamera 360,0,https://www.lazada.co.id/beli-kamera-360/?ajax=true&isFirstRequest=true&page=
beli-kamera-cctv,/?ajax=true&isFirstRequest=true&page=,Kamera CCTV,0,https://www.lazada.co.id/beli-kamera-cctv/?ajax=true&isFirstRequest=true&page=
beli-kamera-ip,/?ajax=true&isFirstRequest=true&page=,Kamera Keamanan IP,0,https://www.lazada.co.id/beli-kamera-ip/?ajax=true&isFirstRequest=true&page=
beli-camcorders,/?ajax=true&isFirstRequest=true&page=,Kamera Video,0,https://www.lazada.co.id/beli-camcorders/?ajax=true&isFirstRequest=true&page=
beli-kamera-instan,/?ajax=true&isFirstRequest=true&page=,Kamera Instan,0,https://www.lazada.co.id/beli-kamera-instan/?ajax=true&isFirstRequest=true&page=
shop-game-konsol,/?ajax=true&isFirstRequest=true&page=,Gaming Konsol,0,https://www.lazada.co.id/shop-game-konsol/?ajax=true&isFirstRequest=true&page=
shop-permainan-konsol/,/?ajax=true&isFirstRequest=true&page=,Permainan Konsol,0,https://www.lazada.co.id/shop-permainan-konsol//?ajax=true&isFirstRequest=true&page=
shop-pengontrol-game-konsol,/?ajax=true&isFirstRequest=true&page=,Pengontrol Game Konsol,0,https://www.lazada.co.id/shop-pengontrol-game-konsol/?ajax=true&isFirstRequest=true&page=
shop-konsolpelindung-penutup,/?ajax=true&isFirstRequest=true&page=,Konsol Pelindung Penutup,0,https://www.lazada.co.id/shop-konsolpelindung-penutup/?ajax=true&isFirstRequest=true&page=
shop-aksesoris-game-konsol,/?ajax=true&isFirstRequest=true&page=,Aksesoris Game Konsol,0,https://www.lazada.co.id/shop-aksesoris-game-konsol/?ajax=true&isFirstRequest=true&page=
beli-rokok-elektrik,/?ajax=true&isFirstRequest=true&page=,Rokok Elektrik,1,https://www.lazada.co.id/beli-rokok-elektrik/?ajax=true&isFirstRequest=true&page=
jual-kamera-drone,/?ajax=true&isFirstRequest=true&page=,Drone,0,https://www.lazada.co.id/jual-kamera-drone/?ajax=true&isFirstRequest=true&page=
jual-walkie-talkie,/?ajax=true&isFirstRequest=true&page=,Walkie Talkie,0,https://www.lazada.co.id/jual-walkie-talkie/?ajax=true&isFirstRequest=true&page=
beli-tablet-2,/?ajax=true&isFirstRequest=true&page=,Tablet,0,https://www.lazada.co.id/beli-tablet-2/?ajax=true&isFirstRequest=true&page=
beli-power-bank,/?ajax=true&isFirstRequest=true&page=,Powerbank,0,https://www.lazada.co.id/beli-power-bank/?ajax=true&isFirstRequest=true&page=
