shop_code,shop_name,total_page,shop_id
eatsambel,Eat Sambel Official Shop,1,92396779
shrd.id,SHRD Indonesia Official Shop,1,167106407
officialroajudes,Sambel Roa Judes Official Shop,1,319336371
nestle_pure_life,Nestle Pure Life Official Shop,1,302241276
magiplanetid,Magi Planet Popcorn Official,1,31510656
drscalpofficialshop,Dr Scalp Official Shop,1,860438078
saffnco,SAFF & Co. Official Shop,1,267621044
beautyofjoseon.id,Beauty Of Joseon Official Store,1,931785217
aquaofficial,AQUA Official Shop,1,47694662
lookecosmeticsofficial,Looké Cosmetics Official Shop,1,272380989
embryolisse.official,Embryolisse Official Store,1,449603663
maicihofficialshop,Maicih Indonesia Official Shop,1,80016631
ovaltineofficial,Ovaltine Official Shop,1,433584779
hmnsperfume,HMNS Official Shop,1,190339326
capjempolofficial,Cap Ibu Jari Jempol Official Shop,1,94458008
pureitofficialstore,Unilever Pureit Official Shop,1,637838818
nankidofficialstore,NANKID Official Shop,1,165530757
red1official,RED1 Official Shop,1,8551004
olaif,Olaif Official Shop,1,564120000
gowellserealofficialstore,GoWell Sereal Official Shop,1,142422498
kindairyid,Kindairy ID Official Shop,2,229526123
sambalbudjui,Sambal Bu Djui Official Shop,1,230249552
gskofficialstore,GSK Official Shop,3,59844523
cbdprofessional,CBD Official Shop,2,283001143
alamonmilk,Alamonmilk Official Shop,2,31655725
vidoranofficialstore,Vidoran Official Shop,3,362094906
theoriginoteofficial,The Originote Official Shop,1,710619388
susubenderaofficial,Susu Bendera Official Shop,2,178189963
msglowformenofficialstore,MS GLOW FOR MEN Official Shop,2,218954892
jollytimeofficial,Jolly Time Official Shop,2,277994390
drdermisofficialstore,Dr.Dermis Official Shop,2,590331036
blackmoresofficialshop,Blackmores Official Shop,2,204176418
taysbakers,Tays Bakers Official Shop,2,10407804
zee_officialstore,Zee Official Shop,2,592965659
corinedefarme.id,Corine de Farme Official Shop,2,348245710
lador_id,La'dor Official Shop,2,302202503
aveneid,Eau Thermale Avene Official Shop,2,653655843
asahiofficialshop,AsaHi Official Shop,2,490623387
esqacosmetics,Esqa Cosmetics Official Shop,2,60328369
mr.crispy_official,MR.Crispy Official shop,2,239139865
lorealindonesia,L'Oréal Professionnel Indonesia Official Shop,2,62579622
apical.id,Apical Official Shop,1,274548853
confidenceofficial,Confidence Official Shop,2,482340088
dr.bronners,Dr Bronner's Indonesia Official Shop,2,299697001
cessa.official,Cessa Indonesia Official Shop,1,64798937
enervonofficial,Enervon Official Shop,2,237594367
sambalpecahofficialshop,Sambal Pecah Official Shop,2,133451397
indofood.beverages,Indofood Beverages Official Shop,2,254669600
blpbeauty,BLP Official Store,2,127651884
sebamedofficial,Sebamed Official Shop,2,142179990
skin1004officialstore,SKIN1004 Indonesia Official,2,555954448
azzuraofficialshop,Azzura Official Shop,2,431031985
wellness.suplemen,Wellness Indonesia Official Shop,2,417377949
kahfofficial,Kahf Official Shop,2,326487418
ultrajayaofficialstore,Ultrajaya Official Shop,2,81205338
unileverprofessional,Unilever Professional Official Shop,2,276953550
animateofficial.id,Animate Official Shop,2,565939420
sgm.official.store,SGM Official shop,2,76746647
lemonilo,Lemonilo Official Store,2,42185480
azarinecosmetic,Azarine Cosmetic Official Shop,2,80036545
bananaboatofficial,Banana Boat Official Shop,2,92653300
pedigree.id,Pedigree Official Shop,2,76616442
lactogrowofficialstore,Lactogrow Official Shop,2,165527568
cerelacofficialstore,Cerelac Official Shop,2,169223616
nutrilonofficialstore,Nutrilon Official Shop,2,75422406
maybellineindonesia,Maybelline Indonesia Official Store,2,62582411
bebelacofficialstore,Bebelac Official Shop,2,69979190
apotekmeditamamidi,Apotek Meditama Midi Bekasi by GoApotik,2,252323357
cerebrofort_official,Cerebrofort Official Shop,2,783010371
indocafeofficialstore,Indocafe Official Shop,2,392420513
duakelinciofficial,Dua Kelinci Official Shop,2,83707898
apotekbelawan,Apotek Belawan by GoApotik,2,270771447
kingsfisher,King's Fisher Official Shop,2,193515416
makeoverofficial,Make Over Official Shop,2,63984475
bioessenceofficialstore,Bio-Essence Official Shop,2,63822287
nushinushi.id,Nushinushi.id Official Store,2,438408733
mybaby_official_store,My Baby Official Shop,2,152263707
klikdoktersurabaya,KlikDokter Authorized Store Surabaya,2,521751152
procalgoldofficialstore,S-26 Procal GOLD OfficialStore,2,38018396
cetaphil_indonesia,Cetaphil Indonesia,2,11277516
caplangofficial,Cap Lang Official Shop,2,239461051
klarensofficial,Klarens Official Shop,2,393440584
kerlyprastika,Keetara Shop,2,127925945
backtonatur,Natur Official Store,2,38631574
kelloggs.id,Kellogg's Official Shop,2,23416962
pharosofficial,Pharos Official Shop,2,204185841
happyfit.id,Happyfit Official Shop,2,31866518
momami.official,MoMaMi Official Shop,2,225710616
sweetybabycare,Sweety Official Shop,2,211772104
dancowofficialstore,Dancow Official Shop,2,165522216
morinagaofficial,Morinaga Official Shop,2,184634917
qiyucollection,qiyucollection,2,4016638
agensemuaoofficial,AGEN SEMUA OFFICIAL,2,256364012
imboostofficial,Imboost Official Shop,2,161143541
starbucks.id,Starbucks Official Shop,2,404427969
larocheposayid,La Roche Posay Official Shop,2,433144176
marjan.official,Marjan Official Shop,2,206123261
happycathappydog,Happy Cat Happy Dog,2,2191405476
mayoraofficialstore,Mayora Official Shop,2,59510213
purbasariofficial,Purbasari Official Store,2,3741929
dearmebeauty,Dear Me Beauty Official Shop,2,45495764
unileverfoodsolution,Unilever Food Solutions Official,2,17850010
bayerofficial,Bayer Health Official Partner,2,58696021
bagusmart.id,Bagus Official Shop,2,38584222
pigeonindonesia,Pigeon Indonesia Official Shop,2,5497358
colgate_palmolive_official,Colgate Palmolive Official Shop,2,19351258
azharrezky,AZ MERCH,2,29840612
frisianflagofficial,Frisian Flag Official Shop,2,70448302
japfabestbekasi,Japfa Best Bekasi,2,271978739
mondelezofficial,"Oreo, Cadbury & Kraft Official",2,20090785
japfabestserpong,Japfa Best Serpong,2,260663057
japfabestjakarta,Japfa Best Official Shop,2,269483414
delfiofficial,Delfi Official Shop,2,318835972
apotekdelatinos,Apotek Delatinos by Goapotik,2,261899069
tempostore,Tempo Store Official Shop,2,53899123
heinzabc,Heinz ABC Indonesia Official Store,2,186718895
raksebelah,Rak Sebelah Official Shop,2,253578312
loccitaneofficialshop,L'Occitane Official Shop,2,88079439
nutrimart,Nutrimart,2,12656836
pzcussonsofficialstore,Cussons Official Shop,2,175473624
wiprounzaofficialshop,Wipro Unza Official Shop,2,63682929
apoteksiwalan,Apotek Siwalan by GoApotik,2,253111673
kapalapistore,Kapal Api Store Official Shop,2,24114453
sukahatimester,sukahatimester,2,306313761
freezyfresh.id,Freezy Fresh Official Shop,2,259292994
apotekkombi,Apotek Kombi by GoApotik,2,261458923
apoteksuryabandung,Apotek Surya Bandung by GoApotik,2,261906157
apotekcentrofarma,Apotek Centro Farma by GoApotik,2,254194651
freezyfresh.jakpus,Freezy Fresh Authorized Store Jakarta Pusat,2,398249023
freezyfresh.jakbar,Freezy Fresh Authorized Store Jakarta Barat,2,275598105
nivea.official.store,NIVEA Official Store,2,39283823
erhastoreofficialsurabaya,ERHASTORE OFFICIAL SURABAYA,2,902683666
freezyfresh.bogor,Freezy Fresh Authorized Store Bogor,2,266670855
hmart.id,H Mart Official Shop,2,224534553
johnsonnjohnson.id,Johnson & Johnson Official Shop,2,50708029
