Category URL,Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule
https://www.tokopedia.com/p/rumah-tangga/lain-lain,Lain-Lain,8:30,9:30,17:00,22:00,tkp-ext-lain-lain,30 8 * * *,tkp-tfm-lain-lain,30 9 * * *,tkp-ext-lain-lain-item,0 17 * * *,tkp-tfm-lain-lain-item,0 22 * * *
https://www.tokopedia.com/p/buku/lainnya,Lainnya,8:45,9:45,17:30,22:30,tkp-ext-lainnya,45 8 * * *,tkp-tfm-lainnya,45 9 * * *,tkp-ext-lainnya-item,30 17 * * *,tkp-tfm-lainnya-item,30 22 * * *
https://www.tokopedia.com/p/kesehatan/lainnya,Lainnya,8:45,9:45,18:00,23:00,tkp-ext-lainnya,45 8 * * *,tkp-tfm-lainnya,45 9 * * *,tkp-ext-lainnya-item,0 18 * * *,tkp-tfm-lainnya-item,0 23 * * *
https://www.tokopedia.com/p/mainan-hobi/lainnya,Lainnya,8:45,9:45,18:30,23:30,tkp-ext-lainnya,45 8 * * *,tkp-tfm-lainnya,45 9 * * *,tkp-ext-lainnya-item,30 18 * * *,tkp-tfm-lainnya-item,30 23 * * *
https://www.tokopedia.com/p/perlengkapan-pesta-craft/lainnya,Lainnya,8:45,9:45,19:00,0:00,tkp-ext-lainnya,45 8 * * *,tkp-tfm-lainnya,45 9 * * *,tkp-ext-lainnya-item,0 19 * * *,tkp-tfm-lainnya-item,0 0 * * *
https://www.tokopedia.com/p/elektronik/lampu,Lampu,8:45,9:45,19:30,0:30,tkp-ext-lampu,45 8 * * *,tkp-tfm-lampu,45 9 * * *,tkp-ext-lampu-item,30 19 * * *,tkp-tfm-lampu-item,30 0 * * *
https://www.tokopedia.com/p/komputer-laptop/laptop,Laptop,9:00,10:00,20:00,1:00,tkp-ext-laptop,0 9 * * *,tkp-tfm-laptop,0 10 * * *,tkp-ext-laptop-item,0 20 * * *,tkp-tfm-laptop-item,0 1 * * *
https://www.tokopedia.com/p/rumah-tangga/laundry,Laundry,9:00,10:00,20:30,1:30,tkp-ext-laundry,0 9 * * *,tkp-tfm-laundry,0 10 * * *,tkp-ext-laundry-item,30 20 * * *,tkp-tfm-laundry-item,30 1 * * *
https://www.tokopedia.com/p/pertukangan/ledeng,Ledeng,9:00,10:00,21:00,2:00,tkp-ext-ledeng,0 9 * * *,tkp-tfm-ledeng,0 10 * * *,tkp-ext-ledeng-item,0 21 * * *,tkp-tfm-ledeng-item,0 2 * * *
https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/lensa-aksesoris,Lensa & Aksesoris,9:00,10:00,21:30,2:30,tkp-ext-lensa-aksesoris,0 9 * * *,tkp-tfm-lensa-aksesoris,0 10 * * *,tkp-ext-lensa-aksesoris-item,30 21 * * *,tkp-tfm-lensa-aksesoris-item,30 2 * * *
https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/lighting-studio,Lighting & Studio,9:00,10:00,22:00,3:00,tkp-ext-lighting-studio,0 9 * * *,tkp-tfm-lighting-studio,0 10 * * *,tkp-ext-lighting-studio-item,0 22 * * *,tkp-tfm-lighting-studio-item,0 3 * * *
https://www.tokopedia.com/p/kecantikan/lip-color-lip-care,Lip Color & Lip Care,9:15,10:15,22:30,3:30,tkp-ext-lip-color-lip-care,15 9 * * *,tkp-tfm-lip-color-lip-care,15 10 * * *,tkp-ext-lip-color-lip-care-item,30 22 * * *,tkp-tfm-lip-color-lip-care-item,30 3 * * *
https://www.tokopedia.com/p/pertukangan/machinery,Machinery,9:15,10:15,23:00,4:00,tkp-ext-machinery,15 9 * * *,tkp-tfm-machinery,15 10 * * *,tkp-ext-machinery-item,0 23 * * *,tkp-tfm-machinery-item,0 4 * * *
https://www.tokopedia.com/p/ibu-bayi/mainan-aktivitas-bayi,Mainan & Aktivitas Bayi,9:15,10:15,23:30,4:30,tkp-ext-mainan-aktivitas-bayi,15 9 * * *,tkp-tfm-mainan-aktivitas-bayi,15 10 * * *,tkp-ext-mainan-aktivitas-bayi-item,30 23 * * *,tkp-tfm-mainan-aktivitas-bayi-item,30 4 * * *
https://www.tokopedia.com/p/mainan-hobi/mainan-anak-anak,Mainan Anak - Anak,9:15,10:15,0:00,5:00,tkp-ext-mainan-anak-anak,15 9 * * *,tkp-tfm-mainan-anak-anak,15 10 * * *,tkp-ext-mainan-anak-anak-item,0 0 * * *,tkp-tfm-mainan-anak-anak-item,0 5 * * *
https://www.tokopedia.com/p/mainan-hobi/mainan-remote-control,Mainan Remote Control,9:15,10:15,0:30,5:30,tkp-ext-mainan-remote-control,15 9 * * *,tkp-tfm-mainan-remote-control,15 10 * * *,tkp-ext-mainan-remote-control-item,30 0 * * *,tkp-tfm-mainan-remote-control-item,30 5 * * *
https://www.tokopedia.com/p/buku/majalah,Majalah,9:30,10:30,1:00,6:00,tkp-ext-majalah,30 9 * * *,tkp-tfm-majalah,30 10 * * *,tkp-ext-majalah-item,0 1 * * *,tkp-tfm-majalah-item,0 6 * * *
https://www.tokopedia.com/p/makanan-minuman/makanan-beku,Makanan Beku,9:30,10:30,1:30,6:30,tkp-ext-makanan-beku,30 9 * * *,tkp-tfm-makanan-beku,30 10 * * *,tkp-ext-makanan-beku-item,30 1 * * *,tkp-tfm-makanan-beku-item,30 6 * * *
https://www.tokopedia.com/p/makanan-minuman/makanan-jadi,Makanan Jadi,9:30,10:30,2:00,7:00,tkp-ext-makanan-jadi,30 9 * * *,tkp-tfm-makanan-jadi,30 10 * * *,tkp-ext-makanan-jadi-item,0 2 * * *,tkp-tfm-makanan-jadi-item,0 7 * * *
https://www.tokopedia.com/p/makanan-minuman/makanan-kering,Makanan Kering,9:30,10:30,2:30,7:30,tkp-ext-makanan-kering,30 9 * * *,tkp-tfm-makanan-kering,30 10 * * *,tkp-ext-makanan-kering-item,30 2 * * *,tkp-tfm-makanan-kering-item,30 7 * * *
https://www.tokopedia.com/p/wedding/makanan-minuman-pernikahan,Makanan & Minuman Pernikahan,9:30,10:30,3:00,8:00,tkp-ext-makanan-minuman-pernikahan,30 9 * * *,tkp-tfm-makanan-minuman-pernikahan,30 10 * * *,tkp-ext-makanan-minuman-pernikahan-item,0 3 * * *,tkp-tfm-makanan-minuman-pernikahan-item,0 8 * * *
